Job titel,Company name,Address,Job type,Workplace,Job skills,Links
Data Analyst,EGMED -,"Cairo, Egypt",Full Time,On-site,Experienced · 3 - 6 Yrs of Exp · IT/Software Development · Analysis · Computer Science · Data Analysis · Information Technology (IT),https://wuzzuf.net/jobs/p/jyy8v22nmjva-data-analyst-egmed-cairo-egypt
Customer Data Operations Specialist,Confidential -,"New Cairo, Cairo, Egypt",Full Time,On-site,Experienced · 2 - 7 Yrs of Exp · IT/Software Development · Operations/Management · Microsoft Excel · Customer Service · Customer Care · Data Entry · Data Analysis · Reporting · Documentation · Data Handling,https://wuzzuf.net/jobs/p/corczmjni4hq-customer-data-operations-specialist-cairo-egypt
Analysis & Reporting Specialist,"The Micro, Small & Medium Enterprise Development Agency  -","Dokki, Giza, Egypt",Full Time,On-site,Experienced · 4 - 6 Yrs of Exp · Administration · Business Development · Analyst/Research · Analysis · Reporting · Data Analysis,https://wuzzuf.net/jobs/p/c6lwryeeh0jj-analysis-reporting-specialist-the-micro-small-medium-enterprise-development-agency-giza-egypt
Data Analyst,Orchidia Pharmaceutical Industries -,"Rehab City, Cairo, Egypt",Full Time,On-site,Experienced · 3 - 5 Yrs of Exp · Operations/Management · Analyst/Research · Pharmaceutical · Analysis · Data Analysis · Data Management · Microsoft Excel,https://wuzzuf.net/jobs/p/zadedm6ciygi-data-analyst-orchidia-pharmaceutical-industries-cairo-egypt
Data Analyst,RISEUP (Endemag for Administrative Skills Development) -,"Maadi, Cairo, Egypt",Freelance / Project,Hybrid,Experienced · 2 - 4 Yrs of Exp · Engineering - Construction/Civil/Architecture · Analyst/Research · Engineering - Mechanical/Electrical · Analysis · Data Analysis · Data Management · Engineering · Microsoft Office · Python · SQL,https://wuzzuf.net/jobs/p/ocidan8rceq3-data-analyst-riseup-endemag-for-administrative-skills-development-cairo-egypt
Data Analyst Engineer,Basco Engineering &Trading -,"Heliopolis, Cairo, Egypt",Full Time,On-site,Experienced · 2 - 8 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Engineering · Statistical Analysis · Data Visualization · Data Analysis · Dashboard Development · Problem Solving,https://wuzzuf.net/jobs/p/arqttzi4nhke-data-analyst-engineer-basco-engineering-trading-cairo-egypt
Commercial Specialist ( Junior Data Analyst ),realme -,"Nasr City, Cairo, Egypt",Full Time,On-site,Entry Level · 1+ Yrs of Exp · females_only · Business Development · Analyst/Research · Sales/Retail · Statistics · Sales · Analysis · Business Analysis · Market Research · Research · Finance,https://wuzzuf.net/jobs/p/yudsuh18csad-commercial-specialist-junior-data-analyst-realme-cairo-egypt
Data Analyst – Analytics & Knowledge Delivery,EpsilonAI -,"Nasr City, Cairo, Egypt",Full Time,Hybrid,Entry Level · 0 - 3 Yrs of Exp · IT/Software Development · Analyst/Research · Data Analysis · Database SQL Server · MySQL · Data Analytics · Big Data Analytics · Microsoft Excel · Power BI · Microsoft Power BI,https://wuzzuf.net/jobs/p/4m4sgsl4q0f7-data-analyst-analytics-knowledge-delivery-epsilonai-cairo-egypt
Data Scientist And Machine learning Engineer - Applied AI & Knowledge Sharing,EpsilonAI -,"Nasr City, Cairo, Egypt",Full Time,Hybrid,Entry Level · 0 - 3 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Science · Machine Learning · Python Programming · Teaching & Instruction · Curriculum Development · Statistical Analysis · Communication,https://wuzzuf.net/jobs/p/mvgfy3hj4s4u-data-scientist-and-machine-learning-engineer-applied-ai-knowledge-sharing-epsilonai-cairo-egypt
FP&A Section Head (Financial Planning & Analysis),Confidential -,"Obour City, Cairo, Egypt",Full Time,On-site,Manager · 10 - 15 Yrs of Exp · Accounting/Finance · Analysis · Finance · Financial Analysis · Financial Management · A/B Testing · Accounting · Budgeting · Forecasting · Financial Modeling,https://wuzzuf.net/jobs/p/htdfyw5f9y4h-fpa-section-head-financial-planning-analysis-cairo-egypt
Data Analyst,Majestic Pharmaceuticals -,"New Cairo, Cairo, Egypt",Full Time,On-site,Experienced · 3 - 5 Yrs of Exp · Administration · Data Analysis · Analysis · Computer Science · Information Technology (IT),https://wuzzuf.net/jobs/p/iwa8kvlssdjy-data-analyst-majestic-pharmaceuticals-cairo-egypt
Data analysis Instructor,Yat Learning Centers -,"Hadayek Alkobba, Cairo, Egypt",Freelance / Project,Remote,Experienced · 3 - 15 Yrs of Exp · Education/Teaching · Training/Instructor · Data Analysis · Databases · Microsoft Excel · SQL · Python · Google Analytics · Power BI · Tableau,https://wuzzuf.net/jobs/p/gwifjzfunbq1-data-analysis-instructor-yat-learning-centers-cairo-egypt
Branch Accountant,Confidential -,"Dokki, Giza, Egypt",Full Time,On-site,Experienced · 1 - 3 Yrs of Exp · Accounting/Finance · Banking · Accounting · Finance · Financial Analysis · Financial Management · Banking · Client Support · Auditing · Bookkeeping,https://wuzzuf.net/jobs/p/bjohrgnh8nik-branch-accountant-giza-egypt
Global Finance Manager,Confidential -,"New Cairo, Cairo, Egypt",Full Time,Hybrid,Manager · 10 - 15 Yrs of Exp · Accounting/Finance · Operations/Management · Manufacturing/Production · Finance · Financial Analysis · Finance Analysis · Finance Management · Financial Accounting · Financial Reporting · Financial Data Analysis,https://wuzzuf.net/jobs/p/fdkqqx5ytes2-global-finance-manager-cairo-egypt
Accountant,Confidential -,"10th of Ramadan City, Cairo, Egypt",Full Time,On-site,Entry Level · 1 - 5 Yrs of Exp · Accounting/Finance · Accounting · Microsoft Excel · Banking · Microsoft Word · Financial Reporting · General Ledger · Reconciliation · Accounts Payable · Accounts Receivable,https://wuzzuf.net/jobs/p/rvoflnwstzc5-accountant-cairo-egypt
Data Entry Specialist,Damu -,"Haram, Giza, Egypt",Full Time,On-site,Entry Level · 0 - 2 Yrs of Exp · Administration · Customer Service/Support · Analyst/Research · Customer Service · Data Entry · Microsoft Office · Administration · Financial Data Analysis · Databases,https://wuzzuf.net/jobs/p/uhdvavyhig5v-data-entry-specialist-damu-giza-egypt
Materials Planning Engineer,Confidential -,"10th of Ramadan City, Cairo, Egypt",Full Time,On-site,Experienced · 3 - 7 Yrs of Exp · Logistics/Supply Chain · Manufacturing/Production · Planning · Project Management · Manufacturing Industry · Production Engineering · Supply Chain Management · Inventory Management · Logistics · Material Requirements Planning (MRP),https://wuzzuf.net/jobs/p/7lzabhol5lfq-materials-planning-engineer-cairo-egypt
Talent Acquisition Section Head,Egyptian Company for Cosmetics -,"Nasr City, Cairo, Egypt",Full Time,On-site,Manager · 5 - 10 Yrs of Exp · females_preferred · Human Resources · Talent Acquisition · Recruitment Strategy · Employer Branding · Data Analysis · Stakeholder Management · Candidate Experience · ATS Management · HR Analytics · Leadership,https://wuzzuf.net/jobs/p/h6xbvx0dp534-talent-acquisition-section-head-egyptian-company-for-cosmetics-cairo-egypt
Junior Demand Planner,Dakahlia Group -,"Nasr City, Cairo, Egypt",Full Time,On-site,Entry Level · 0 - 2 Yrs of Exp · Logistics/Supply Chain · Demand Planning · Engineering · Manufacturing · Supply Chain · Supply · Planning · Supply Chain Management · Material Requirements Planning (MRP) · Inventory Management,https://wuzzuf.net/jobs/p/iwmsgw1ygtpd-junior-demand-planner-dakahlia-group-cairo-egypt
Production Engineer,AlShrouk Paper -,"Alsadat City, Monufya, Egypt",Full Time,On-site,Entry Level · 0 - 2 Yrs of Exp · males_only · Manufacturing/Production · Engineering - Other · Engineering · Manufacturing · Production · Process Optimization · Quality Control · Troubleshooting · Lean Manufacturing · Problem Solving,https://wuzzuf.net/jobs/p/6sl0vqouwk64-production-engineer-alshrouk-paper-monufya-egypt
